AIDS  n.爱滋病(获得性免疫缺陷综合征)
Africa  n.非洲
African  n.非洲人
America  n.美洲
American  n.美国人
Antarctica  n.南极洲
April  n.四月
Arab  n.阿拉伯人
Arabic  n.阿拉伯语
Asia  n.亚洲
Asian  n.亚洲人
Atlantic  n.大西洋
Australia  n.澳洲
Australian  n.澳大利亚人
Belgium  n.比利时
Britain  n.英国
British  a.英国的
Buddhism  n.佛教
Buddhist  n.佛教徒
CD  n.镭射碟
Canada  n.加拿大
Canadian  a.加拿大的
China  n.中国
Chinese  n.中文
Christian  n.基督徒
Christmas  n.圣诞节
Conservative  a.保守的
December  n.十二月
Dr  n.博士
Easter  n.复活节
Egyptian  n.埃及人
England  n.英格兰
English  n.英语
Europe  n.欧洲
European  n.欧洲人
FAX  n.传真
February  n.二月
French  n.法国人
Frenchman  n.法国人
Friday  n.星期五
German  n.德国人
Germany  n.德国
God  n.上帝
Greece  n.希腊
Greek  n.希腊人
I  pron.我
Iceland  n.冰岛
India  n.印度
Indian  n.印度人
Ireland  n.爱尔兰
Irish  n.爱尔兰人
Italian  n.意大利人
Italy  n.意大利
January  n.一月
Japan  n.日本
Japanese  n.日本人
July  n.七月
June  n.六月
London  n.伦敦
Mexican  n.墨西哥人
Mexico  n.墨西哥
Monday  n.星期一
Moscow  n.莫斯科
Moslem  n.穆斯林
North  n.北方
November  n.十一月
OK  a.好
Oceania  n.大洋洲
October  n.十月
Olympic  a.奥林匹亚的
Ottawa  n.渥太华
Paris  n.巴黎
Pole  n.波兰人
Polish  a.波兰的
Russia  n.俄国
Russian  n.俄国人
Saturday  n.星期六
Scotland  n.苏格兰
Scottish  a.苏格兰的
September  n.九月
Shanghai  n.上海
Spanish  n.西班牙人
Sunday  n.星期日
Swiss  n.瑞士人
Switzerland  n.瑞士
Thursday  n.星期四
Tibet  n.西藏
Tokyo  n.东京
Tuesday  n.星期二
Wednesday  n.星期三
abandon  vt.放弃
ability  n.能力
able  a.能干的
